module,skill,display-name,menu-code,description,action,args,phase,after,before,required,output-location,outputs
Suno Band Manager,suno-setup,Setup Suno Module,SU,"Install or update Suno Band Manager module config and help entries.",configure,"{-H: headless mode}|{inline values: skip prompts with provided values}",anytime,,,false,{project-root}/_bmad,config.yaml and config.user.yaml
Suno Band Manager,suno-agent-band-manager,Create Song,CS,"Create a complete Suno-ready song package with style prompt + lyrics + parameters through guided creative conversation.",create-song,,anytime,suno-band-profile-manager:manage-profiles,,false,{songbook_folder},song package
Suno Band Manager,suno-agent-band-manager,Refine Song,RS,"Post-generation refinement: translate feedback into concrete Suno parameter adjustments.",refine-song,,anytime,suno-agent-band-manager:create-song,,false,{songbook_folder},refined song package
Suno Band Manager,suno-agent-band-manager,Browse Songbook,SB,"Browse past songs and successful prompts from your creative history.",browse-songbook,,anytime,suno-agent-band-manager:create-song,,false,{songbook_folder},
Suno Band Manager,suno-agent-band-manager,Save Memory,SM,"Save current session context to Mac's memory for next time.",save-memory,,anytime,,,false,,
Suno Band Manager,suno-band-profile-manager,Manage Bands,MB,"Create, edit, list, duplicate, or delete band identity profiles with genre, vocal direction, and writer voice.",manage-profiles,"{-H: headless mode}|{--headless:create|edit|load|delete|duplicate|validate}",anytime,,suno-style-prompt-builder:build-style-prompt,false,{band_profiles_folder},band profile YAML
Suno Band Manager,suno-band-profile-manager,Analyze Writer Voice,WV,"Extract writing voice patterns from samples and store in a band profile.",analyze-writer-voice,,anytime,,suno-lyric-transformer:transform-lyrics,false,{band_profiles_folder},writer voice analysis
Suno Band Manager,suno-band-profile-manager,Profile Health Check,HC,"Assess profile completeness and quality beyond structural validation.",health-check,,anytime,suno-band-profile-manager:manage-profiles,,false,,health assessment
Suno Band Manager,suno-style-prompt-builder,Build Style Prompt,SP,"Generate model-aware Suno style prompts optimized for your chosen model tier.",build-style-prompt,"{-H: headless mode}|{--headless:from-profile|custom|refine|migrate}",anytime,suno-band-profile-manager:manage-profiles,,false,,style prompt package
Suno Band Manager,suno-lyric-transformer,Transform Lyrics,TL,"Transform poems and text into Suno-ready structured lyrics with metatags and cliche detection.",transform-lyrics,"{-H: headless mode}|{--headless:analyze|transform|refine}",anytime,suno-band-profile-manager:manage-profiles,,false,{songbook_folder},structured lyrics
Suno Band Manager,suno-lyric-transformer,Analyze Lyrics,AL,"Analyze raw text for song structure potential without transforming — returns structure analysis, syllable patterns, and character budget.",analyze-lyrics,"{-H: headless mode}",anytime,,,false,,structure analysis
Suno Band Manager,suno-feedback-elicitor,Feedback Loop,FL,"Guided post-generation feedback loop that translates subjective reactions into concrete parameter adjustments.",elicit-feedback,"{-H: headless mode}|{--headless:analyze|adjustments}",anytime,"suno-style-prompt-builder:build-style-prompt,suno-lyric-transformer:transform-lyrics","suno-style-prompt-builder:build-style-prompt,suno-lyric-transformer:transform-lyrics",false,,adjustment recommendations
